paper,expset_accession,condition,dataset,biosource,sample_type,tissue_source,treatment,modification,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Hafner_2023_PMID37146570,4DNESAGNYV57,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIS5RP94Q,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d87c4368-bcf2-4975-8511-6c9cfd58b318/4DNFIS5RP94Q.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNES8X5HT9Z,"Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr6 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIY4LMN9F,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/96c93e94-d6df-4516-a12f-fd79bb9a6506/4DNFIY4LMN9F.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESFO5OJGM,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIZRQHPED,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f8235d30-980d-4584-a7b6-66f996234067/4DNFIZRQHPED.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESFQE4NCL,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFI5BABXQH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/18964a21-d403-4eb7-b860-a7513b1a81a2/4DNFI5BABXQH.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESV84QXGA,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIR52SIYN,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e11f780f-be67-438a-937a-855dea868a8e/4DNFIR52SIYN.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESKHW5KA8,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIMEWHH5O,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1d703749-c695-4268-8c82-aded59c305b6/4DNFIMEWHH5O.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNESD9724HX,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFI8S6GUOE,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6bb133eb-e03b-47a5-bcdb-0d39509ca2c9/4DNFI8S6GUOE.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNES1KEOJHX,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIAZWT1N5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f5ee3436-9383-4cae-978a-c297dad850c6/4DNFIAZWT1N5.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
Hafner_2023_PMID37146570,4DNES14BEOD7,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFIO8H16OH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/297201ad-f923-4a0e-97ad-567dc0fb007e/4DNFIO8H16OH.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)|FOF-CT - trace data (csv)"
Hafner_2023_PMID37146570,4DNESNM1I7P6,"Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","Chromatin tracing of chr3 in mESC with CTCF and cohesin depletion","","","","","","multiplexed FISH",,1,1,4DNFI9HLGW6M,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/704908fd-3ad1-445f-bf00-3166e1900e79/4DNFI9HLGW6M.csv,"FOF-CT - DNA-spot/trace core (csv)|FOF-CT - spot quality (csv)"
